"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"AFG","Afghanistan",23,23,23,23,23,23,23,23,23,23,23,28.5609741210938,34.253246307373,42.4,45.6705551147461,42.7,43.2220189082037,69.1,68.9332656860352,89.5,71.5,97.7,97.7,98.7132034301758,98.7132034301758
"ALB","Albania",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100
"DZA","Algeria",98.7472686767578,98.7472686767578,98.7472686767578,98.7472686767578,98.7472686767578,98.7472686767578,98.7472686767578,98.7472686767578,98.7472686767578,98.7472686767578,98.7472686767578,98.7472686767578,98.7472686767578,98.7472686767578,98.7472686767578,98.8776245117188,99.0497894287109,98.7646604654583,99.5385818481445,99.8408203125,99.9313659667969,99.9900512695313,100,100,100
"AND","Andorra",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AGO","Angola",20,20,20,20,20,20,20,25.0560569763184,26.1385898590088,27.1979007720947,28.2321949005127,29.2503795623779,37.5,31.2847576141357,32.3241195678711,33.3937110900879,34.6,35.6665000915527,36.8723831176758,32,42,40.6680183410645,41.9628944396973,43.2592582702637,43.2592582702637
"ATG","Antigua and Barbuda",92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,100,100,100,98.3703689575195,98.488655090332,94.5520140336941,100,100,100,100,100,100,100,100
"ARG","Argentina",95.5110634674458,95.5110634674458,95.5110634674458,95.5110634674458,95.5110634674458,95.5110634674458,95.5110634674458,96.10791015625,96.384895324707,96.6386489868164,96.8673934936523,97.0800247192383,97.2881317138672,97.5032958984375,97.7371063232422,98.82,99.278694152832,99.4978561401367,99.4765548706055,100,99.8271179199219,99.9591217041016,100,100,100
"ARM","Armenia",98.9,98.9,98.9,98.9,98.9,98.9,100,98,99.2390213012695,99.2913589477539,99.8,99.3298950195313,99.3365783691406,99.3503265380859,99.3827133178711,99.8,99.8304901123047,99.8970260620117,99.894287109375,99.9572830200195,100,100,100,100,100
"AUS","Australia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUT","Austria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AZE","Azerbaijan",97,97,97,97,97,98.9082224496759,98.6376953125,100,99.0275115966797,99.189811706543,99.3271026611328,99.5,99.5649337768555,99.6886520385742,99.8310089111328,99.9382934570313,99.9,100,100,100,100,100,100,100,100
"BHS","Bahamas",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"BHR","Bahrain",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"BGD","Bangladesh",19.6889629364014,22.2670841217041,22.4,27.4320621490479,30.0150470733643,32,35.1605110168457,37.7140502929688,40.248836517334,40.6,44.23,50.5251024590164,46.5,52.6562576293945,55.1478729248047,55.26,59.6,62.8470039367676,61.5,62.4,73.1279678344727,75.92,88,85.1604232788086,85.1604232788086
"BRB","Barbados",100,100,100,100,100,100,100,100,100,99.9986267089844,99.9868240356445,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"BLR","Belarus",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"BEL","Belgium",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
